salsify:id,salsify:name,salsify:data_type,salsify:is_facetable,salsify:attribute_group,salsify:position,salsify:help_text,salsify:searchable,salsify:manage_permissions,salsify:manage_permissions,salsify:manage_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:type,salsify:formula,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:entity_types,salsify:entity_types,salsify:entity_types,belk:enrichment_attribute,belk:role,dw:is_custom_attribute,dw:priority,dw:source_level,dw:xml_level,dw:xml_level,dw:xml_path
Belk Exclusive,Belk Exclusive,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
PWP,PWP,boolean,Yes,Global Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
PYG,PYG,boolean,Yes,Global Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Product Copy Text,Product Copy Text,string,Yes,Copy Attributes,2,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Copy_Line_1,Copy Line 1,string,Yes,Copy Attributes,6,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Copy_Line_2,Copy Line 2,string,Yes,Copy Attributes,7,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Copy_Line_3,Copy Line 3,string,Yes,Copy Attributes,8,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Copy_Line_4,Copy Line 4,string,Yes,Copy Attributes,9,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Copy_Line_5,Copy Line 5,string,Yes,Copy Attributes,10,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Default_SKU_Code,Default SKU Code,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Country of Origin,Country of Origin,string,Yes,Copy Attributes,11,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,Yes,,base,master,sku,copyCountryOfOrigin
Exclusive,Exclusive,string,Yes,Copy Attributes,12,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Import/Domestic,Import/Domestic,string,Yes,Copy Attributes,13,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Faux Fur,Faux Fur,boolean,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
MLB,MLB,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
